type;debut;fin;n_mots;texte
lecture;0.00;32.88;56;إن الحمد لله نحمد هو نستعين هو نستفره ونعود بالله من شرور
hors_livre;32.88;85.64;85;صلى الله عليه وسلم وعليكم رحمة الله بركاته بلله بأمهجر سبحانه وتعالى
lecture;85.64;91.20;7;وعد عرم القرآن كوامدة والمك والمدني وقطع
hors_livre;91.20;231.84;237;اللغسان القرآن كسودية كسي مريو كسوكر الدقيق والروح كبطع اللغسان ايا قرآن
lecture;232.56;236.14;7;فإن من أن وعع علوم القرآن المتعلقة
hors_livre;236.14;249.68;18;بالنظورية المكية والمدنية نا قرآنك علومتي سوحة أم بذوه نقنها قرآنك انتصر
lecture;249.68;252.94;8;اقل انت القرآن كوكو تبقى هلوك الى دوان
hors_livre;252.94;268.68;28;له يدن اموقب دن كولنسة تي مركلية القرآن كانوا اعداء علمت ساكبك
lecture;268.68;277.74;13;المكي والمدنيه استلحان كوكو اركب دونها امكا كوياهي وهو النوع المهم عديم
hors_livre;277.74;288.28;20;ونعاد قيم البدا فايدة ديسنة يوهلتها يوهلتها اي برناها فايدو يمكن السندام
lecture;288.28;291.20;5;وفي معرفة تاريخ التشرع الاسلامي
hors_livre;291.20;356.60;105;إلا هي سبحانه وتعالى قرآن كاس تأحكامتك للدون والنوجل شديقي بدأت تدحيلة
lecture;357.08;363.58;10;ولا يستغني عنه المفصير والمتسدي الاستباد العكام من القرآن الكريم.
hors_livre;363.58;379.78;31;فرُفِر كتاب قرآن كا أقريه يا فصره. إنك هم عرما يُنُمك يام
lecture;379.78;384.10;6;والمتسدي لسيباد العكامي من القرآن الكريم
hors_livre;384.10;402.00;35;كا يسبو بمبحية الدونية انه وحكى لصبحة القرآن كا احكامتي سيفهمه دا
lecture;402.00;405.82;5;قال النحاس الرحمه الله تعالى
hors_livre;405.82;422.10;27;كالله أشغد سيا وطاس وإمام أيمدي إسلام ككاملة كتاب الله يقول اين
lecture;422.10;433.66;16;وإنما يكترما نزل بمكتا والمدينة لان فيها عظم الفائدة في الناس خلما
hors_livre;433.66;442.16;17;هاي اللو قرته او اللو هذا الخاضه اللو بحثيه قرآن في كيمة
lecture;442.16;446.38;9;محاك وصونا اعظم الفائدة في الناس خلما سخ انا
hors_livre;446.38;459.98;26;قرته قرآن كناس خيسيه مصوخيه سيه وضريقه لو جرانيه ووصلت ليه وضريقه
lecture;459.98;464.88;9;حديه لان الآية إذا كانت مكية. آيد القرام في
hors_livre;464.88;516.32;100;ذلك بكبو سودكتين. وكان فيها حكم حكم نعم كفاية لسنه وحندي القرق
lecture;516.32;520.68;7;ودعم الفليكترين فليما أن المدينية النسخة المكية
hors_livre;520.68;523.42;7;مرقى وحنجر اني آيديا المدينة كده بيسي
hors_livre;527.96;556.76;57;وقالوا قرد بي وقرد بي يا وحيره وإمام وين يسبنا عا إيمان
lecture;557.32;559.74;8;أيها مدمده ترنا يا ساس. ايها الان دي
hors_livre;559.74;570.14;25;دي كوكلا. انا ويكون طبوه ارد. مركزه مدمده ووصوط ترنا يا وحكام
lecture;570.14;574.22;8;وحياريه لجدون ايها. ووبه نايس سبوشي بي ايها
hors_livre;574.22;575.26;1;وحوليه.
lecture;575.28;577.92;5;وينبغي له ايه لقاري القرآن.
hors_livre;578.04;592.36;28;انتا دي هذا الكي سورة والسعودية وينبغي له. وقالك الضمير كلام ينهد
lecture;592.36;618.56;52;أن يعرف المكية والمدنية إنه قرصو القرآن كباب مكك كسوة دقية كسوة
hors_livre;618.56;720.50;201;بلوك لأجرته أنا شرع دوطا سدحة لتصنوط بقرآونك السودة ويهي مركري إلهي
lecture;720.50;740.54;44;الله في أول الإسلام يوحي إلهي فرض يا ليس لن تبيره ويسيوك
hors_livre;740.54;772.72;64;صخر المكيه مركزا قرآن كمدن ليه مركزا بامنسط النقطو ده نصم نروك
lecture;772.72;777.92;9;الماها. لان المنصخة ولمتقدم في نزور ساور فرمحة قلب
hors_livre;777.92;893.04;206;اعيدنا لارنية ومنصوخ يدى حاجة نزور ككوه الرئيسي قاعدها ناسخ ايمان ايضا
lecture;893.04;899.06;9;او اسور المدنيه واصبضوا حالك لصوبح ضابل قياسي وامور
hors_livre;899.06;905.42;12;الضواب تنبع ضابب مويا أو حال دائم انه ضبنا يا قياسة اه
lecture;905.42;913.68;18;بكل من المكية المدنيه وانا كون كل صورات فيها يا ايها الناس
hors_livre;913.68;933.12;28;فيها مكية صورتك السبب قياعي هالناس يكسون تاعي أنا سورة علمان تيدنمان
lecture;933.12;938.68;9;تاعيها الناس وانصورة المدانية صورة النساوي يكسون تاعيها الناس
hors_livre;938.68;945.78;12;اللي كدى يماليك لأيها الذين عمانون يكسون تاعي وصورة القرآن كتب ده
lecture;945.78;950.44;8;ايها ايها الناس ايكس وانتا ايها الدينا امانوا
hors_livre;950.44;972.50;45;اانكس وانين ما كي يوه ايه سرد حج كل ايها ده وده
lecture;972.50;989.94;32;سورد مكية مكية سوردك تأتي لما كل سورة فيها كلا سورك سو
hors_livre;990.46;996.90;12;أول كورم كلك مجر تقرأك. وآخر كورم بكترك من نسكة دمبي. كل.
lecture;997.64;1007.44;22;وذكرت ثلاثة وثلاثين مرة. سدح سودن بوربان القرآن ككسوة يكلى. وفي خبسة
hors_livre;1007.44;1041.92;72;دادة بكلى العضي. دمان رنو الصورة دان آخر كوية. لنستهركم صبنا اي
somali;1041.92;1042.34;1;Saturday
hors_livre;1043.32;1052.44;18;اestruct مكانك اولادي وما ننزلت كلا بيثرة فلما ولم تأتي في القرآن
somali;1052.44;1052.74;1;Award
hors_livre;1052.74;1059.92;10;دائما يضع اطسل وما ننزلت كلا بيثرة فلما ولي نحن
somali;1059.92;1060.22;1;complement
hors_livre;1060.22;1096.10;65;أك посادة نقون وما ننزلت كلا بيثرة فلما ولم تأتي في القرآن
somali;1096.10;1115.18;75;about the dwakarta and her head was moving towards the shrine yes,
somali;1119.24;1124.76;14;so she could bring some other people to show that they had
hors_livre;1124.76;1206.50;160;وطبق اللو شو بمركامون ولين قانون بعلقا دي جي تتكلم دحلها يصوصا
hors_livre;1236.50;1311.32;144;ونعي قصمتك اللي أنا يلصمني مدين جيعني أغبصني وصاحب البرانا وكالو سركش
lecture;1311.32;1313.10;3;صورة اولها حروف
hors_livre;1313.10;1351.74;63;المرجم في اي مكية تنسيها صورة البقارة والامران. صورة كسة. وحروفها بوقوك
lecture;1351.74;1357.98;8;حرف المعجم لبنى صورة صورة البقرية صورة العمران
hors_livre;1357.98;1383.40;47;انتك وطاس وحك لو تنتهي صورة الرعب الصلافة لمدلح ووكوس ومكبن سوى
lecture;1383.76;1386.24;5;كل صورة فيها القصة عدمه
hors_livre;1386.24;1394.86;19;صورتك الصوت يقصو منطين. نبي آدم يو عبليس قصديس. نبي عدم يو
lecture;1394.86;1398.94;10;سوى صورة البقرة. صورة البقرة هو يعني انت كالوردان هي
hors_livre;1398.94;1410.70;27;قصدة عبليس امان يون بي آدم قصده يقصده بانتاة وصورة ده ما
lecture;1411.50;1415.72;9;كل صورة فيها يا أيها الذين امانوا في مدنية
hors_livre;1415.72;1455.18;71;نور. يدنا صورتك الصورة يا أيها الذين امانوا يقصده بانتاة وصورة ده
lecture;1455.18;1457.98;8;يا أيها الناس كل ما في الأرض حلالا
hors_livre;1457.98;1486.98;62;ضيّلو سورة البقرة يقسوانتي وأنا سورة مدنية سورة ويسا واتنقبوا بالعلمة ويأيها
lecture;1486.98;1495.66;17;فيها يذكر المنافقين في أي مدنيه. صورك صور منافقين تلروه دلقاده. منافقين
hors_livre;1495.66;1568.24;139;نفق وخصم يسمى اركي رسل كرى المدينة لي. فليما صدده رأيه. تفوك
lecture;1568.24;1573.50;8;كل صورة فيها حد أو الفردة فيها مدانية
hors_livre;1573.50;1611.66;67;وخطيه ريسان حدتك عشان سواقا دتك وعلى فري وناجبا لفري إن فاق
lecture;1611.66;1615.58;8;مدنية وما كان فيه دكر القمام الخالية والقرون
hors_livre;1615.58;1617.50;4;ان اخبرنا المجموعة اتص
somali;1617.50;1617.68;1;ticks
hors_livre;1625.16;1627.42;7;البوطية وقتي لم يجب ان اعمل وقته
hors_livre;1629.94;1646.50;26;يجب ان اعمل وقته وقتاها استفسار اتصدقان هو النوع انظرت قولي وقتاها
lecture;1646.50;1651.56;9;كل صورة فيها إن برجهات وبين العكام فيها مدنية
hors_livre;1651.56;1697.94;89;انت مدينة مكلة شوية للمترن شهات مبترن صورة كستة اه ممنونة لغو
lecture;1697.94;1710.06;24;يضح الناس خلق القرآن ومن سوخ يقول إيمان مكي لإداره ترهاك النوى
hors_livre;1710.06;1717.74;17;لوعدا بعدو معاسي أدو انت دمار معاعدتك إن يسور دواء يامنو لأبوس
lecture;1717.74;1722.86;7;الزرقان إن لضيرهم المكي والمدني بدكتور عبدالزاق
hors_livre;1722.86;1752.16;57;وشخص أسحاعات يامز ملد ب يدك أوم بيدا كشوفاء مكواه مدينة وحدج
lecture;1752.16;1755.18;6;مسترين الأخيرين يقارشون حول بعض التلك
hors_livre;1755.18;1775.52;43;والبواجد وعنا بواجد بان شادني لكن لبدأ المسترين يدنبي ومنها يلأرفانيا كتاب
lecture;1775.52;1777.66;5;سورة دنيا مكتايا من مدينة
hors_livre;1777.66;1780.24;3;تاقعاً جرنوه ببطنوه
lecture;1780.24;1782.42;4;فوأيض معرفة المكي والمدني
hors_livre;1782.42;1788.32;8;مكي جئي مدانية جرشة لجرته فوأيض أن كهليني
lecture;1789.00;1797.36;16;تترى تبع على معرفة المكي والمدوني فوأيض عظيما معنى الحكا لنسوك الرتي
hors_livre;1797.36;1803.78;11;مكتايا معايدا ليني مكتايا ويني مداني تاقعا فإذن ينبدا وحتى وامدى
lecture;1803.78;1814.14;18;معرفت الناس خو المصوخ وعرفت عمرك ياران صاش يدنى اه محالة جرنية
hors_livre;1814.14;1840.02;55;صوت نام حيكو بأعيل ده مركد نمس سودكتى صورة ده مركد نمس
lecture;1840.02;1842.88;7;الاستعان في بي في تفسير القرآن الكلم
hors_livre;1842.88;1852.28;21;أرنك اللي روحه حكا عاوني سا مركا وقرآن كيف الصراحة أما أفهم
lecture;1852.28;1859.66;14;لأنه معرفة مكان وطاريخ النظر انه انجرامه هل كي قرآنك كباسود ايه؟
hors_livre;1859.66;1879.20;44;وصود ايه؟ تاسوحي نجع اوين ايه سام؟ ايه لننسي في عرفة امه؟
hors_livre;1882.28;1886.08;6;قائبكم بتاعمين وجعون السام وتستخدموا منه.
lecture;1886.68;1894.20;11;الوقف على المراحل التاريقية لتشرع الإسلامية. ايقا ان نجرأه? تشرع الإسلامية
hors_livre;1894.20;2032.92;267;ياها? الهي سبحانه وتعالى. داد هو داد كاس ديد جاهرية صبح صوء
hors_livre;2092.92;2122.42;58;وقف على أصليب الخضاء في المكي تعود السيد دتك لو لبه الله
lecture;2122.42;2133.26;21;على المكي والبدأ دي أرمك وضب بأي بلاقيان عناية المسلمين بالقرآن الكريمه
hors_livre;2133.26;2199.28;114;عاية دي الصورة الصورة كنت كلدو اللوديك ايه لجهة ديك لكلم كود
lecture;2199.28;2203.48;6;المكي والمدنيه. العلماء في المكي والمدنيه
hors_livre;2203.48;2213.06;13;استلاحاته سلاس. الماذا مركز الاعوى المكي والمدنيه استلاحات صدحة الايديا. من يوامحه
lecture;2213.06;2217.08;9;ما نزال قبل الهترة ولو نزال بغير المكة. مكة
hors_livre;2217.08;2234.54;35;هدي اللي بيرها هو. هترده ارثي بزمك بل ايديا. هديه هترده كهر
lecture;2235.04;2243.58;17;والمدنيه ما نزال بعدها. اتردي بحكة درب ينا حقا مكبال احياده كو
hors_livre;2243.58;2255.94;27;عرفيه كو سودقه السال يوم اكمرت لكم دينكم وعرفك كو سودقه ايه
hors_livre;2285.94;2309.28;59;تعالى رسولك يا محاكو يم ام امرقو يم ام افضل منك و
lecture;2309.28;2313.90;8;صالحة يكو صعدان لبعا المكي يوما نزل بمكة
lecture;2346.50;2350.76;8;وعلى هذا هتنى استلحا كسعه نو تصبط الواصدة
hors_livre;2350.76;2358.40;12;واصدة ماشي صوبحة صو قسم صدحاته ومو صوبحية بك يقسم صدحاته ومحيه
lecture;2358.40;2365.88;18;فما نزال بالاصفار جسوك ليس فرد سو يحيك وصوده لا ينقل عليه
hors_livre;2365.88;2375.22;15;لمعرنه مرقا واصدة ماشي صوبحة كل واقوك يدت قوك وربعين وراجحة تاس
lecture;2375.22;2389.78;35;المكيء بعض العلم هاي كتبين وانا يسكير بعضهم وانا قاني ما وقع
hors_livre;2389.78;2457.12;119;ان وحير ري المدينة السيهيه الذين عمانو وكلا وحي لحظه لنا مدني
lecture;2457.12;2461.64;7;قول كمختاركة كاسبا نقول الجمورة لأنه حاصر
hors_livre;2461.64;2471.40;17;مغضري يعني أنه يقوب يايوف إنهم صابحة صدحة المكي المدنية إنهم صابحة
lecture;2471.40;2473.62;3;تنتفي بمقتضاه الواسدة
hors_livre;2473.62;2479.84;6;وعندما يتكلمون بحصة محصة ومحصة ومحصة
lecture;2479.84;2483.68;8;وقلنا قل الحافظ والتفاق على حافظ محجر معه
hors_livre;2483.68;2530.72;88;إن كان ليس وقال فقصية أيها الصون قليه وكله وحيدية لا العجب
hors_livre;2534.60;2537.46;5;فالفضالة في القبائلها الارجاء فى
lecture;2537.46;2540.40;7;الجميع ما نزل بعد الهيطر فى المداني
hors_livre;2540.40;2554.74;24;وفي فضارنا وحارات حاونة تحضر الهيطر وفي سنة جايبا ومداني مركة تاصايا
lecture;2554.74;2558.88;9;وما نزل قبل الهيطر المدان هاتي لها ما نزل
hors_livre;2558.88;2587.32;56;بعد الهيطر اموري بقدم ده اهيه رعا مجبول اجني انت استبع اهيه
lecture;2587.32;2594.06;15;عالب اهه ابو الحصن عالب من باكو. محمد من محمد من ابرهيم
hors_livre;2594.06;2746.24;318;وطايدين. تعالى. اترسين تلك بجلية. اصل كي السهر ايه ايه ايه اصوار
lecture;2746.24;2751.32;8;الله مركع قال ابي الحصن من الحصار وكله
hors_livre;2751.32;3090.50;700;حصر كان إمام كدهبي كل يكون تتوسى وطارق الإسلام كبوين كتاب قولي
hors_livre;3152.52;3223.74;119;تاريخ الكبر الرئيسي. روحة كتابك إلهي السعيس وردوك الهوريين وإديني التسيخ لصضطان
lecture;3223.74;3227.98;8;الكتاب رحلو يوليك. حفن حذربة رحمه الله تعالى
hors_livre;3227.98;3228.72;1;يسجنه.
hors_livre;3233.94;3447.58;392;كل تادوري وحو ام القرار لا يري معاني بيقرآنك كباصبني اما الهي
lecture;3447.58;3453.04;10;الحطر وايه. ولقد ادتيناك سبعا من المثاني لو يرسوك ايه
hors_livre;3453.04;3737.36;534;كفص ري فاتحا دي نيتاقي. وحلقوفة سيري انت احطر كفصا انها صورة
hors_livre;3767.36;3799.16;61;وفرندي علي خلافتك ماتبنك لما نحفده نور رسولك إلهي صلوات الله وصلاه
lecture;3799.16;3815.04;28;أن فرض الصلاة كان بمكة مكة اوحويا محجر ومكية بلجمع خلافناك مصمنا
hors_livre;3815.04;3895.78;161;لله رب العالمين ما نقل ما نهيه إيه لي ترتف الإسلام سلاد
hors_livre;3925.78;3973.24;85;اينا اتاتري اينا نجينا احد مسلمتك مننا نقرم مع اي نصف بحية
lecture;3973.24;3976.96;7;القرآن تكملة في عشرين ورقصة الكلحة في
