type;debut;fin;n_mots;texte
hors_livre;0.00;87.82;151;السلام عليكم ورحمة الله وبركاته السلام عليكم ورحمة الله وبركاتكم وعلمنا ما
lecture;87.82;92.50;7;رحمه الله تعالى هذا الذي التفقط فيه
hors_livre;92.50;161.24;114;الروات لهوية بعنا انت انساش ابنه اللبات تنكي اني بدينك سودقين وانت
lecture;161.24;167.06;9;تأثم قبل سبعد الهترا. احنا المركي انساك الضواء بدا
hors_livre;167.06;186.64;33;سوى هنا انقوك لساره انو قرآن كماك يكما دانيك. وحن سواش يبني
lecture;186.64;218.86;50;وصورة البقره صورتها العمران. الافلامين بيكوب الارمان يدوى المديني ويهيه. انتك ليه
hors_livre;218.86;226.70;11;صين مكتها خلف خمسنا. مرحبا مردمة لعلمنا محكا لينسورة الرعاق. يالقمر
lecture;226.70;231.68;9;اون يسورت مكيه ايه طاية. او مرحبا ضامتها حروفها
hors_livre;231.68;241.88;17;مقضعها سورة دافق بلا من بقرية لامرانها ومكيه. أيينه رأساك يا رمبال
lecture;241.88;247.82;9;أرعدوك القمر يمركها حيثها رعدوها سورا مكيئة صبتنا سورة
hors_livre;247.82;268.82;30;القمر وكلام الدقيق فلسوا فصيين مككسودتي ومثلها سورة الرحمن الشاهدها مما تضمن
hors_livre;271.54;334.62;104;اي ايدنوه سورة دمك يأه مكي كوسو الا الدكتي خلا فا ماشي
lecture;334.84;348.90;26;اول شيء لان الطريقة سكبوري ده دريقين كبيم. حاكموك لو صحيخ الهدف
hors_livre;348.90;364.58;27;على سارة صحيحة ترميدي وصحيحة حسن كجيس سرعي يسلسل دانسلسلات العادية الصحيحة
lecture;364.58;368.86;9;الله وصلاب عليه وليو وإنتي مدينة لشوية هاية فالنو
hors_livre;368.86;388.52;41;اصحابت سفو صرب حي. بركة اصحابت سفو صرب حي اصحابت تمركاته وتمتسك.
lecture;388.52;393.04;10;على الجن ليلة الجن. فكانه احسن مردو دا لكم. صورة
hors_livre;393.04;410.34;36;من صورة الرحمن. وحن كو اقريه. ان كنت ان كنت الأضرية منك
lecture;410.34;419.30;19;ما اتيت على قولي فبقى ايه آلاء ربكم ااتك انضبان. قالوا الله
hors_livre;424.90;432.90;11;يقوي وحوياً مركز صورة كدور اقرياً يضع دائلة ملكوب يصدن برفة
lecture;432.90;438.16;9;بأي آلاء ربيكمات كالنبان هيكسن ونغطى الصورة دا مركز
hors_livre;438.16;442.68;6;صن ايادة اقريا وحيء اولان يين
lecture;442.68;446.64;7;لا بشي ان عمك ربنا نكذب الهيو
hors_livre;446.64;535.14;173;وحن عمك هذا كلملهم بيانين انه مجرده يتَوَطا نعمو يكاربب يكوو كالبأعية
lecture;535.14;537.72;6;قبل ان يستعب ما يؤمرو ايه
hors_livre;537.72;565.96;62;انه دعودا او ذاتك يا رسيل هي الى شهرين مع ناح ايه
lecture;565.96;584.00;32;مكية. صورة الرحمن. كلمك سيابات ريالك ادل لباسا هينا يوه. تمروا الاهل
hors_livre;584.00;650.02;113;تضمن وحيك كلام صديق قولي جيني جيني كهذا الكوذة ومكة الرسول كي
lecture;650.02;705.62;108;ورد كبصاو النقليا اتناعوا ساو النقليا خلاف فانكا نخلاف ستى أسيخ للمقهى
hors_livre;705.62;715.72;19;إتيكم قاضي يكونوا مليونوا مصالات لكوا بصلها لكن مدينا ولا بايم أنا
lecture;715.72;722.80;14;رقية شين أيها تهاك في العبر ماركة سورة شيات كوس منها وسورة
hors_livre;722.80;814.16;177;انها إلا انها تقول هم ما لا تفعلون قامت بابراحنت الله يحب
hors_livre;844.56;1431.36;1123;يضنى. لكن خلاف فترا صورة دي من اوتري. وصورة الانحواري قد علمت.
lecture;1431.36;1435.62;10;اتريه هل كانت تكلم كاسيانك وبصونين ايه حق نحذر في
hors_livre;1435.62;1521.58;170;الحباري او كلاس يدخل في سياعي مده ووحي كنت لينه نعضيناكنا وحينا
lecture;1551.58;1570.02;40;سورة بيوم مدنية ان لا يلقى اياد مكية ايها ايها كبسرة تاسقات
hors_livre;1570.02;1936.36;718;حكاة امي داة قلوا انك ما الحاب الدجيناية لجو يلي ما نتعسط
lecture;1936.36;1951.14;24;أيام تاك يبعني المكي والمدني وحوية منظومة نمام سيودي في الناسخ والمنسوخ.
hors_livre;1951.14;1966.82;32;كيدي وحالها لجبه هضية بل انت انوحو وان ايام تجعب ايامنا مقدمة
lecture;1966.82;1970.92;9;ان الحمد لله نحمد ونسعين ونصفر ونعود بلا نشور
hors_livre;1970.92;1973.48;5;ايام فيسنا ونسيات عمارنا من
lecture;1973.48;1990.10;40;يهدي الا فلا مدل الله ومن يدل فلا هادئ له واشدوا الله
hors_livre;1990.10;1997.56;12;قرآن كناس خيسة وحيسونا سخه يوكى لوعه فاية كان من سوخيسه الم
lecture;1997.56;2017.42;35;وعلم جريل قدر الم مرتبني سعيوتي ويق عميم الفائدة فائدة ليس نيقاد
hors_livre;2017.42;2044.34;48;كاوبا بحيويل والاقرية وتفسير فاربجية لجمع مارماه بمعرفه السعيوتي او اسمباد العفام
lecture;2044.34;2069.78;53;مواوح يباهين اما لجمال مارمان وقه. سارنا انه معرفوا ياشا ناسخ القرآن
hors_livre;2070.16;2072.76;7;ان حكم صحيحة لقد قطعت النصوص دينا.
lecture;2073.08;2075.52;6;وهذا كان لديه لنونا. تنيروك نوين
hors_livre;2075.52;2078.22;5;بيوتاين. لا سيما إذا وجدت
lecture;2108.22;2121.26;23;عن قرنه. ولهذا كان سلف وصالح سترادئ ايها سلف كين يهور ايها
hors_livre;2121.26;2126.94;12;معرفة تتكنوح كبور نين لنا طلعي اشهر. انسلوا من قصة قادر ايناية.
lecture;2127.26;2134.34;16;مر عليهم رضي الله عدن. ان يلو المؤمنين عالب ما بيضالب هو
hors_livre;2134.34;2145.62;16;قاصوا الواقد روحا واعتها وخسطة هر المذكر نولا اولانية القاصنة والاولانية والخلب
lecture;2145.62;2167.68;42;ويغص الدل وعليه ايه صمره فقال هل علمتنا السخة والمسوخة القرآن تناس
hors_livre;2167.68;2183.20;29;دتكي نواد هلات معنى تلسى ديك القلوح منصقا اضض كواعه والفشه دتكي
lecture;2183.20;2187.68;12;يعني انه عرض النفسه وعرض الناس للهلاك مادى ما انه لا يعرفنا
hors_livre;2187.68;2218.22;58;السخة مالمنصق فالقسكة لي نصصة انصار نقلنا ان انا حقه الساك تبتي
lecture;2218.22;2222.46;9;على اعتبرت الناسخ ولمنصخ من الحديث أو من لا
hors_livre;2222.46;2232.44;18;صار ويستغنى وكاس ورمجلدون واسنة قدق بعمس حلوصو النقلي يكوك لما هكو
lecture;2232.44;2237.54;10;ذانا. علي ما صورك لي مسب. ويلا رجل يخاوفون الناس.
hors_livre;2237.68;2249.80;14;وحارك ينتكى وين يودي وعدي يتكربو شبي وعبسي جنين. فقال فقال فقال
lecture;2251.32;2256.58;9;وديك وانية فقال ليس برجون يدك الناس ولكنه يقول
hors_livre;2256.58;2278.40;40;انه فلاه من فلاه تعرفونه ماهندتك وعدية وفلاه هم الأمر بأنه هاي
lecture;2278.40;2282.98;10;من مسدنا ولا تذكف هذا مسكي يا كبوحا تتكوح با
hors_livre;2282.98;2340.58;123;هوا علينا هو شيء يكولا دي دي دي نقالض با تاني اتراوحا
lecture;2340.78;2345.96;10;حكمة الهيلي ومن يؤثر حكمة فقد قوتي خيرا كثيرا حكمةها
hors_livre;2345.96;2351.02;9;وكفصة. نكة حكمةها اللسيه. خير بدن بها اللسيه الهيلي.
lecture;2351.42;2359.90;12;وبنعرفة القرآن ناسخ ومن سوخي. ومعكمة ومتشابي. ومقدمهم واخره وحلاله وحرامه وامساله.
hors_livre;2360.20;2381.40;42;فقراءكم معرفوه لا ياشه. ايكامتين اسخ من سوخ سين لا قلوا ليه.
lecture;2382.08;2384.42;5;وقال الشافقي رحمه الله تعالى
hors_livre;2384.42;2423.52;79;شافقي بروحولي. كل كلام كيس نوحكس ويسا وينتن كدار. كتاب كا خضي
