type;debut;fin;n_mots;texte
hors_livre;0.00;2.00;2;السلام عليكم
hors_livre;30.00;130.22;186;و تركوا اولي كفر و اشادهم و صبر و النفر الاخر الابيات
hors_livre;160.22;267.50;201;وولم إلا يد مكذب إبعارة دو يكون سوهان تهلك القصده ايام ده
lecture;267.50;269.84;5;يكلف الله نفسا الله وسعها.
hors_livre;269.84;479.80;380;بحي الروح اختيار كيسة اوود اولي ايه وكسة ميه وكجباته و اولا
lecture;479.80;482.40;6;لزيادة إذا كانت تحضر أن يكون
hors_livre;482.40;484.02;2;هناك عضاة
lecture;484.02;489.72;10;إلا حرخ إلا أنت إلا هذه الضريقة لأيوه إيضا نصبا
hors_livre;489.72;503.32;24;كبيمي وترك لي كفرين كوي قال ذاها إلا أنت هذه سلوكية مادر
lecture;503.32;508.64;10;الديل لكلهم، أما اختير إليه إنه كالحكمنية إنه فراك بقراءني
hors_livre;508.64;512.86;8;كبوتو كسنون ستعلميًا إيه ليه؟ أنا أخيه د
somali;512.86;517.22;26;WhaLamna is a poem that suits me, I want to tell you
hors_livre;517.22;519.24;3;وإشهدوا وإشهدوا ؟
hors_livre;521.96;526.26;8;المرخات اللا جشبوا وينمرخات في كل نقدان إذن
somali;526.26;526.90;8;Tasawain is a poem that suits me well
hors_livre;526.90;556.36;48;وحوية المعيلة أيه ما ذبطم يا وحوية تاسنة والنسخي وصبرات كيسي جي
lecture;556.36;559.72;7;هادي ما دوضتين ولا دقاءون ولا وضبحوه
hors_livre;559.72;572.52;19;وجهاتك الله وضبحوه فلتاسنا يلن معنها إنو ويم وولنسخين وإنطبق وآياداك ووضى
lecture;572.52;577.94;8;الى يقول كيسو يولي. والذين عقدت ايمانكم فاتهم
hors_livre;577.94;773.06;352;نصيبهم. بانا اقتها رمحة سري. رحبا ري البلسو دي بيه. يجي بلديك
somali;773.06;773.28;1;transaction
hors_livre;773.28;793.74;41;والان الى ايها حطا كاجب بحان وحالي ان ايها كاجب بحان الى
hors_livre;853.74;920.62;138;فلان دبا إن حد إن هالكاس ارقل لدي اللبو هيا وحب سجاس
lecture;920.62;924.46;8;الله صلى الله عليه وسلم عليه حكم كان
hors_livre;924.46;925.72;2;مركودة جارسين
lecture;925.72;928.96;9;ايه ايه ايه قاتل الهي السبيل ايه الضريف ايه
hors_livre;928.96;973.98;79;الهي عبايا ليه برتابه ويه وانا سوي من كثير كواع برؤاركا سيبعضون
hors_livre;981.00;989.02;9;ان ي минут ان يحفظ لك ان يفعلك حكومو
somali;989.02;989.02;1;or
hors_livre;989.02;1276.74;557;او شوية او شوية ان يفعلك حكومو أي اعطين سيقوم او شوية
hors_livre;1307.34;1331.52;46;محان الصخيب. لا يبصره الضلاء كويري. واشدو دوية عدل منكم. مركع مرخاتك
hors_livre;1336.20;1434.46;194;ومسلمك بالقا يا عقل كامل واروح مسلمة قام كاري عقل له او
hors_livre;1440.00;1464.90;40;شرطية وحل açılت لها أمرئة لكمتوا نكي بمثلا علملي هالدوس طاكبة صعبة
somali;1464.90;1464.90;1;relief
